ID,Label,Level,ParentID
H0000,Spezielle physikalische Geräte,Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
H1000,Instrumentelle Analytik und Geräte der Präparativen Chemie,Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
H2000,Spezielle Geräte der Ingenieurwissenschaften,Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
H3000,Spezielle medizinische Geräte,Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
H4000,Spezielle Geräte anderer Fachrichtungen und spezielle Labortechnik,Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
H5000,"Optik, Elektronenoptik",Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
H6000,"Mess- und Regelungstechnik, elektronische Geräte",Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
H7000,Rechenanlagen und Peripherie,Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
H8000,"Druck, Temperatur, Länge Zeit, Masse",Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
H9000,"Immobilien, Geschäftsausstattung, diverse Ausrüstungsgegenstände",Hundertengruppe,http://purl.obolibrary.org/obo/ERO_0000004
Z0000,"Mechanik, Akustik",Zehnergruppe,H0000
Z0100,Magnetismus,Zehnergruppe,H0000
Z0200,"Kernphysik (Strahlungsquellen, Messtechnik)",Zehnergruppe,H0000
Z0300,"Kernphysik, Kerntechnik (Strahlenschutz, Labortechnik)",Zehnergruppe,H0000
Z0400,"Geophysik (feste Erde, Ozeanographie)",Zehnergruppe,H0000
Z0500,"Geophysik (Luft, Meteorologie)",Zehnergruppe,H0000
Z0600,"Geodäsie, Photogrammetrie",Zehnergruppe,H0000
Z0700,Astronomie,Zehnergruppe,H0000
Z0800,Spezielle physikalische Messverfahren,Zehnergruppe,H0000
Z0900,Spezielle physikalische Versuchsaufbauten,Zehnergruppe,H0000
Z1000,Mischen und Zerkleinern,Zehnergruppe,H1000
Z1100,Präparative Chemie und Biochemie,Zehnergruppe,H1000
Z1200,"Mechanische Trennverfahren, Zentrifugen",Zehnergruppe,H1000
Z1300,"Destillation, Extraktion und Chromatographie",Zehnergruppe,H1000
Z1400,Elektrochemie,Zehnergruppe,H1000
Z1500,"Spezielle Analysengeräte (Elementar-, Gas-, Wasseranalyse)",Zehnergruppe,H1000
Z1600,Messung von Stoffkonstanten,Zehnergruppe,H1000
Z1700,"Spektrometer (Massen-, NMR-, ESR-)",Zehnergruppe,H1000
Z1800,Spektrometer (optische),Zehnergruppe,H1000
Z1900,Sonstige Betriebs- und Laborgeräte,Zehnergruppe,H1000
Z2000,Spanende Formung,Zehnergruppe,H2000
Z2100,Spanlose Formung und andere Bearbeitung,Zehnergruppe,H2000
Z2200,"Bearbeitung von nichtmetallischen Werkstoffen, Druckerei",Zehnergruppe,H2000
Z2300,Bau- und Fördertechnik,Zehnergruppe,H2000
Z2400,"Schiffbau, Flugzeugbau und Strömungsforschung",Zehnergruppe,H2000
Z2500,"Landfahrzeugbau, Kraftfahrzeuge",Zehnergruppe,H2000
Z2600,Elektrische Energietechnik,Zehnergruppe,H2000
Z2700,Nachrichtentechnik,Zehnergruppe,H2000
Z2800,Motoren und Turbinen,Zehnergruppe,H2000
